ID,Scored,Area,Item,Deficiency,Criteria,H&S,Correction Timeframe,HCV Pass/Fail,HCV Correction Timeframe,Inspection Process - Observation,Inspection Process - Request for Help,Inspection Process - Action,Inspection Process - More Information,Tools or Equipment - Required,Tools or Equipment - Useful
10.2.6.3.0,,Inside,Door - Entry,"Entry door self-closing mechanism is damaged, inoperable, or missing.","The self-closing mechanism is damaged (i.e., visibly defective; impacts functionality).
OR
The self-closing mechanism does not pull the door closed and engage the latch.
OR
The self-closing mechanism is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,"1. Look to see if the entry door has a self-closing mechanism, such as spring-loaded hinges or a pneumatic closer.",1. Ask the POA if you have seen all the entry doors to the interior space.,"1. Open the door fully and release.
2. Wait for the door to self-close and watch and listen for the door to latch.","1. If the entry door does not have a self-closing device, evaluate the latch under the applicable deficiency within this standard.
2. Look at the edges of the entry door and the jamb or frame for a fire label. If the label is present, then the door should be evaluated under the Door – Fire Labeled standard.",NONE,NONE
10.1.7.3.0,,Unit,Door - Entry,Entry door cannot be secured.,"Entry door cannot be secured (i.e., access controlled) by at least 1 installed lock.",Severe,24 hours,Fail,30 days,"1. Look at all entry doors. 
2. Verify if a lock is installed on each entry door.",NONE,"1. Close the entry door and engage the installed lock. 
2. Engage the doorknob or handle to verify if the door is secured.","1. Acceptable forms of installed locks include ones that can be engaged from both sides and the exterior side can be engaged with a key, keypad, keycard, code, etc.
2. Look at the edges of the entry door and the jamb or frame for a fire label. If the label is present, then the door should be evaluated under the Door – Fire Labeled standard.",NONE,NONE
10.2.8.3.0,,Inside,Door - Entry,Entry door cannot be secured.,"Entry door cannot be secured (i.e., access controlled) by at least 1 installed lock.",Moderate,30 days,Fail,30 days,"1. Look at all entry doors. 
2. Verify if a lock is installed on each entry door.",NONE,"1. Close the entry door and engage the installed lock. 
2. Engage the doorknob or handle to verify if the door is secured.","1. Acceptable forms of installed locks include ones that can be engaged from both sides and the exterior side can be engaged with a key, keypad, keycard, code, etc.
2. Look at the edges of the entry door and the jamb or frame for a fire label. If the label is present, then the door should be evaluated under the Door – Fire Labeled standard.",NONE,NONE
10.1.9.3.0,,Unit,Door - Entry,"Hole, split, or crack that penetrates completely through entry door.","A hole ¼ inch or greater in diameter that penetrates all the way through the door.
OR
A split or crack ¼ inch or greater in width that penetrates all the way through the door.
OR
A hole or a crack with separation is present, or the glass is missing within the door, side lites, or transom.",Moderate,30 days,Fail,30 days,"1. Look at the entrances to the interior space and locate the entry doors.
2. Visually inspect the surface of the door (i.e., door, lite), looking for any holes, splits, or cracks that entirely penetrate the door, allowing airflow or light into the interior space.",1. Ask the POA if you have seen all the entry doors to the interior space.,"1. Close the entry door and step back. 
2. Measure the diameter of any unintended holes and width of splits or cracks.","1. Look at the edges of the entry door and the jamb or frame for a fire label. If the label is present, then the door should be evaluated under the Door – Fire Labeled standard. 
2. If there is broken glass with sharp edges evaluate it under the Sharp Edges standard. 
3. If a hole is the result of a missing lock, record under the applicable defect within this standard. 
4. Any prior hole, split, or crack to the entry door must be repaired using equivalent materials. ",Flashlight; Inspection mirror; Distance measuring device.,NONE
10.2.10.3.0,,Inside,Door - Entry,"Hole, split, or crack that penetrates completely through entry door.","A hole ¼ inch or greater in diameter that penetrates all the way through the door.
OR
A split or crack ¼ inch or greater in width that penetrates all the way through the door.
OR
A hole or a crack with separation is present, or the glass is missing within the door, side lites, or transom.",Moderate,30 days,Fail,30 days,"1. Look at the entrances to the interior space and locate the entry doors. 
2. Visually inspect the surface of the door (i.e., door, lite), looking for any holes, splits, or cracks that entirely penetrate the door, allowing airflow or light into the interior space.",1. Ask the POA if you have seen all the entry doors to the interior space.,"1. Close the entry door and step back. 
2. Measure the diameter of any unintended holes and width of splits or cracks.","1. If there is broken glass with sharp edges evaluate it under the Sharp Edges standard. 
2. If a hole is the result of a missing lock, record under the applicable defect within this standard. 
3. Any prior hole, split, or crack to the entry door must be repaired using equivalent materials. 
4. Look at the edges of the entry door and the jamb or frame for a fire label. If the label is present, then the door should be evaluated under the Door – Fire Labeled standard. ",Flashlight; Inspection mirror; Distance measuring device,NONE
10.1.11.3.0,,Unit,Door - Entry,Entry door is missing.,"The entry door is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at the entrances to the interior space and locate the entry doors.
2. Visually inspect for missing entry doors.",1. Ask the POA if you have seen all the entry doors to the interior space.,1. Identify any missing entry doors.,"1. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door. 
2. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",NONE,NONE
10.2.12.3.0,,Inside,Door - Entry,Entry door is missing.,"The entry door is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Severe,24 hours,Fail,30 days,"1. Look at the entrances to the interior space and locate the entry doors. 
2. Visually inspect for missing entry doors.",1. Ask the POA if you have seen all the entry doors to the interior space.,1. Identify any missing entry doors.,"1. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door. 
2. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",NONE,NONE
10.1.13.3.0,,Unit,Door - Entry,Entry door surface is delaminated or separated.,"There is delamination or separation of the door surface 2 inches wide or greater.
OR
There is delamination or separation that affects the integrity of the door (i.e., surface protection or the strength of the door).",Moderate,30 days,Fail,30 days,"1. Look at the entrances to the interior space and locate the entry doors. 
2. Visually inspect for delamination or separation.",1. Ask the POA if you have seen all the entry doors to the interior space.,"1. Measure any delamination or separation on the door surface as it sits. 
2. Determine if any delamination or separation affects the integrity of the door.","1. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door.
2. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",Distance measuring device,Flashlight
10.2.14.3.0,,Inside,Door - Entry,Entry door surface is delaminated or separated.,"There is delamination or separation of the door surface 2 inches wide or greater.
OR
There is delamination or separation that affects the integrity of the door (i.e., surface protection or the strength of the door).",Moderate,30 days,Fail,30 days,"1. Look at the entrances to the interior space and locate the entry doors. 
2. Visually inspect for delamination or separation.",1. Ask the POA if you have seen all the entry doors to the interior space.,"1. Measure any delamination or separation on the door surface as it sits. 
2. Determine if any delamination or separation affects the integrity of the door.","1. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door. 
2. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",Distance measuring device,Flashlight
10.1.15.3.0,,Unit,Door - Entry,"Entry door frame, threshold, or trim is damaged or missing.","The entry door frame, threshold, or trim is damaged (i.e., visibly defective; impacts functionality).
OR
The entry door frame, threshold, or trim is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,"1. Open the entry doors and observe the door frames. 
2. Look at the condition of the side jamb, top jamb, threshold, and trim.",1. Ask the POA if you have seen all the entry doors.,"1. Inspect the frame, jamb, threshold, and trim for damage (e.g., splits, cracks, holes, rot, gaps, sagging, etc.).","1. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door. 
2. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",Flashlight,NONE
10.2.16.3.0,,Inside,Door - Entry,"Entry door frame, threshold, or trim is damaged or missing.","The entry door frame, threshold, or trim is damaged (i.e., visibly defective; impacts functionality).
OR
The entry door frame, threshold, or trim is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,"1. Open the entry doors and observe the door frames. 
2. Look at the condition of the side jamb, top jamb, threshold, and trim.",1. Ask the POA if you have seen all the entry doors.,"1. Inspect the frame, jamb, threshold, and trim for damage (e.g., splits, cracks, holes, rot, gaps, sagging, etc.).","1. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door. 
2. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",Flashlight,NONE
10.1.17.3.0,,Unit,Door - Entry,"Entry door seal, gasket, or stripping is damaged, inoperable, or missing.","The entry door seal, gasket, or stripping is:
- damaged (i.e., visibly defective; impacts functionality);
- inoperable (i.e., overall system or component thereof is not meeting function/purpose, with or without visible damage); or
- missing (i.e., evidence of prior installation, but now not present or is incomplete).

AND ONE OF THE FOLLOWING CONDITIONS:

Condition 1:
- General door type: Results in a gap of ¼ inch wide or greater between the door slab and the stop molding on the jamb or the jamb itself, or between the bottom of the door and the threshold or floor AND permits light around the closed door.
- Special door type: Results in a gap of ¼ inch wide or greater around or under the door or where the doors meet AND permits light around the closed door or where the doors meet.

Condition 2:
- General door type: There is evidence of water penetrating (e.g., water damage or dry rot) around or under the door.
- Special door type: There is evidence of water penetrating (e.g., water damage or dry rot) around or under the door or where the doors meet.",Moderate,30 days,Fail,30 days,"1. General door type: 
A. With the door open, inspect the top and sides of the jamb for damaged, inoperable, or missing seal, gasket, or stripping (e.g., splits, cracks, holes, gaps, etc.). 
B. With the door open, inspect the bottom door sweep for damaged, inoperable, or missing seal, gasket, or stripping. 
C. Standing inside the unit with the door closed, look for light around and under the door. 
D. Standing inside the unit with the door closed, identify any gap around the door. 
2. Special door type: 
A. With the door open, inspect the top and sides of the jamb for damaged, inoperable, or missing seal, gasket, or stripping (e.g., splits, cracks, holes, gaps, etc.). 
B. With the door open, inspect the bottom door sweep for damaged, inoperable, or missing seal, gasket, or stripping. 
C. With the door open, inspect for damaged, inoperable, or missing seal, gasket, or stripping where the doors meet. 
D. Standing inside the unit with the door closed, look for light around and under the door and where the doors meet (i.e., astragal). 
E. Standing inside the unit with the door closed, identify any gap around the door.",1. Ask the POA if you have seen all the entry doors.,"1. General door type: 
A. Measure the gap between the edge of the door slab and the stop molding or the jamb. 
B. Measure the gap between the bottom of the door and the threshold or the floor. 
2. Special door type: 
A. Measure the gap between the edge of the door slab and the stop molding or the jamb.
B Measure the gap between the bottom of the door and the threshold or the floor. 
C. Measure the gap where the doors meet.","1. This deficiency includes both manufacturer-installed and aftermarket seal, gasket, or stripping. 
2. Entry doors designed without a seal, gasket, or stripping are not considered a deficiency. 
A.  To determine this, use a mirror to look at the top, sides, and bottom of the door and the top and sides of the jamb for evidence that a seal, gasket, or stripping was ever present (e.g., adhesive residue, open staple, nail or screw holes, empty kerf, etc.). 
B. For example, there is a gap less than ¼ inch permitting light under an entry door, but no evidence of water penetration (e.g., water damage or dry rot). Using touch or a mirror, it is determined that the door was designed without a seal or a threshold. In this case, there is not a deficiency. However, if there is evidence of water penetration, then it would be considered a deficiency. 
3. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door. 
4. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",Flashlight; Inspection mirror; Distance measuring device,NONE
10.2.18.3.0,,Inside,Door - Entry,"Entry door seal, gasket, or stripping is damaged, inoperable, or missing.","The entry door seal, gasket, or stripping is:
- damaged (i.e., visibly defective; impacts functionality);
- inoperable (i.e., overall system or component thereof is not meeting function/purpose, with or without visible damage); or
- missing (i.e., evidence of prior installation, but now not present or is incomplete).

AND ONE OF THE FOLLOWING CONDITIONS:

Condition 1:
- General door type: Results in a gap of ¼ inch wide or greater between the door slab and the stop molding on the jamb or the jamb itself, or between the bottom of the door and the threshold or floor AND permits light around the closed door.
- Special door type: Results in a gap of ¼ inch wide or greater around or under the door or where the doors meet AND permits light around the closed door or where the doors meet.

Condition 2:
- General door type: There is evidence of water penetrating (e.g., water damage or dry rot) around or under the door.
- Special door type: There is evidence of water penetrating (e.g., water damage or dry rot) around or under the door or where the doors meet.",Moderate,30 days,Fail,30 days,"1. General door type: 
A. With the door open, inspect the top and sides of the jamb for damaged, inoperable, or missing seal, gasket, or stripping (e.g., splits, cracks, holes, gaps, etc.). 
B. With the door open, inspect the bottom door sweep for damaged, inoperable, or missing seal, gasket, or stripping. 
C. Standing inside the unit with the door closed, look for light around and under the door. 
D. Standing inside the unit with the door closed, identify any gap around the door. 
2. Special door type: 
A. With the door open, inspect the top and sides of the jamb for damaged, inoperable, or missing seal, gasket, or stripping (e.g., splits, cracks, holes, gaps, etc.). 
B. With the door open, inspect the bottom door sweep for damaged, inoperable, or missing seal, gasket, or stripping. 
C. With the door open, inspect for damaged, inoperable, or missing seal, gasket, or stripping where the doors meet. 
D. Standing inside the unit with the door closed, look for light around and under the door and where the doors meet (i.e., astragal). 
E. Standing inside the unit with the door closed, identify any gap around the door.",1. Ask the POA if you have seen all the entry doors.,"1. General door type: 
A. Measure the gap between the edge of the door slab and the stop molding or the jamb. 
B. Measure the gap between the bottom of the door and the threshold or the floor. 
2. Special door type: 
A. Measure the gap between the edge of the door slab and the stop molding or the jamb.
B. Measure the gap between the bottom of the door and the threshold or the floor. 
C. Measure the gap where the doors meet.","1. This deficiency includes both manufacturer-installed and aftermarket seal, gasket, or stripping. 
2. Entry doors designed without a seal, gasket, or stripping are not considered a deficiency. 
A.  To determine this, use a mirror to look at the top, sides, and bottom of the door and the top and sides of the jamb for evidence that a seal, gasket, or stripping was ever present (e.g., adhesive residue, open staple, nail or screw holes, empty kerf, etc.). 
B. For example, there is a gap less than ¼ inch permitting light under an entry door, but no evidence of water penetration (e.g., water damage or dry rot). Using touch or a mirror, it is determined that the door was designed without a seal or a threshold. In this case, there is not a deficiency. However, if there is evidence of water penetration, then it would be considered a deficiency. 
3. Look at the edges of the entry door and the jamb or frame for a tag indicating that the door is a fire door. 
4. If it has a tag, evaluate the door under the Door – Fire Labeled standard.",Flashlight; Inspection mirror; Distance measuring device,NONE
10.1.19.3.0,,Unit,Door - Entry,"Entry door component is damaged, inoperable, or missing and it does not limit the door’s ability to provide privacy or protection from weather or infestation.","Entry door component is damaged (i.e., visibly defective) and it does not limit the door's ability to provide privacy or protection from weather or infestation.
OR
Entry door component is inoperable (i.e., component not meeting function or purpose; with or without visible damage) and it does not limit the door's ability to provide privacy or protection from weather or infestation.
OR
Entry door component is missing (i.e., evidence of prior installation, but it is now not present or is incomplete) and it does not limit the door's ability to provide privacy or protection from weather or infestation.",Low,60 days,Pass,N/A,"1. Look at all entry doors. 
2. Visually inspect each door to identify any component that is damaged, inoperable, or missing.",NONE,NONE,"1. Look at the edges of the entry door and the jamb or frame for a fire label. If the label is present, then the door should be evaluated under the Door – Fire Labeled standard. 
2. Examples of damaged, inoperable, or missing components that may not limit the door’s ability to provide privacy or protection from weather or infestation may include, but are not limited to: 
A. Insulated glass with a compromised seal;
B. Auxiliary (i.e., additional) installed lock;
C. Installed security device;
D. Strike plate or latch assembly; 
E. Weather stripping on an entry door that provides access to the Unit from the Inside (e.g., hallway); or 
F. Casing or decorative trim.",NONE,NONE
10.2.20.3.0,,Inside,Door - Entry,"Entry door component is damaged, inoperable, or missing and it does not limit the door’s ability to provide privacy or protection from weather or infestation.","Entry door component is damaged (i.e., visibly defective) and it does not limit the door's ability to provide privacy or protection from weather or infestation.
OR
Entry door component is inoperable (i.e., component not meeting function or purpose; with or without visible damage) and it does not limit the door's ability to provide privacy or protection from weather or infestation.
OR
Entry door component is missing (i.e., evidence of prior installation, but it is now not present or is incomplete) and it does not limit the door's ability to provide privacy or protection from weather or infestation.",Low,60 days,Pass,N/A,"1. Look at all entry doors. 
2. Visually inspect each door to identify any component that is damaged, inoperable, or missing.",NONE,1. Ask the POA if you have seen all the entry doors.,"1. Look at the edges of the entry door and the jamb or frame for a fire label. If the label is present, then the door should be evaluated under the Door – Fire Labeled standard. 
2. Examples of damaged, inoperable, or missing components that may not limit the door’s ability to provide privacy or protection from weather or infestation may include, but are not limited to: 
A. Insulated glass with a compromised seal;
B. Auxiliary (i.e., additional) installed lock;
C. Installed security device;
D. Strike plate or latch assembly; 
E. Weather stripping on an entry door that provides access to the Unit from the Inside (e.g., hallway); or 
F. Casing or decorative trim.",NONE,NONE
11.1.1.3.0,Not Scored for 12 Months,Unit,Door - Fire Labeled,Fire labeled door does not open.,Fire labeled door does not open such that it may limit access between spaces.,Severe,24 hours,Fail,30 days,1. Identify all fire labeled doors within the Unit.,"1. If the door is locked, ask the resident or POA to unlock the door.","1. With the door closed, engage the doorknob or handle to verify if the door opens to permit reasonable access between spaces.","1. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame. 
2. If a Unit entry door or stairwell door will not open, and at least one (1) other Unit entry door or stairwell door along the same egress path has a fire label, then the inspector should treat the unopenable door as a fire labeled door.",NONE,Flashlight; Inspection mirror
11.2.2.3.0,Not Scored for 12 Months,Inside,Door - Fire Labeled,Fire labeled door does not open.,Fire labeled door does not open such that it may limit access between spaces.,Severe,24 hours,Fail,30 days,1. Identify all fire labeled doors within the Inside.,"1. If the door is locked, ask the POA to unlock the door.","1. With the door closed, engage the doorknob or handle to verify if the door opens to permit reasonable access between spaces.","1. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame. 
2. If an entry door or stairwell door will not open, and at least one (1) other entry door or stairwell door along the same egress path has a fire label, then the inspector should treat the unopenable door as a fire labeled door.  ",NONE,Flashlight; Inspection mirror
11.1.3.3.0,Not Scored for 12 Months,Unit,Door - Fire Labeled,Fire labeled door does not close and latch or the self-closing hardware is damaged or missing such that the door does not self-close and latch.,"Fire labeled door does not close (i.e., door seats in frame) and latch.
OR
Fire labeled door self-closing hardware is damaged (i.e., visibly defective; impacts functionality) or missing (i.e., evidence of prior installation, but is now not present or is incomplete) such that the door does not self-close (i.e., door seats in frame) and latch.",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Unit. 
2. Look to see if the door has a self-closing mechanism (e.g., spring loaded hinges, pneumatic closer) or an automatic closure (e.g., magnetic lock). 
3. Look to see if the door is power operated. 
4. Visually inspect each fire labeled door to determine if a self-closing mechanism, automatic closure, or power operated component is damaged or missing.","1. If an audible exit alarm is present on the door, allow the POA to disarm the alarm prior to inspecting.","1. Fire labeled door with self-closing mechanism: 
- Open the door fully and release. 
- Visually observe that the door self closes (i.e., door seats in frame). 
- With the door closed, attempt to open the door without engaging the latch to ensure the door is closed and latched. 
2. Fire labeled door that is power operated: 
- Activate the door and visually observe if the door opens. 
- Once open, wait to visually observe if the door automatically closes. 
- With the door closed, attempt to open the door without engaging the latch to ensure the door is closed and latched. 
3. Fire labeled door without self-closing mechanism or with an automatic closure: 
- Open the door fully. 
- Attempt to close the entry door against the frame. 
- With the door closed, attempt to open the door without engaging the latch to ensure the door is closed and latched.","1. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame.
2. If unable to determine if a label is present, and at least one (1) other Unit door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.",NONE,Flashlight; Inspection mirror
11.2.4.3.0,Not Scored for 12 Months,Inside,Door - Fire Labeled,Fire labeled door does not close and latch or the self-closing hardware is damaged or missing such that the door does not self-close and latch.,"Fire labeled door does not close (i.e., door seats in frame) and latch.
OR
Fire labeled door self-closing hardware is damaged (i.e., visibly defective; impacts functionality) or missing (i.e., evidence of prior installation, but is now not present or is incomplete) such that the door does not self-close (i.e., door seats in frame) and latch.",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Inside. 
2. Look to see if the door has a self-closing mechanism (e.g., spring loaded hinges, pneumatic closer) or an automatic closure (e.g., magnetic lock). 
3. Look to see if the door is power operated. 
4. Visually inspect each fire labeled door to determine if a self-closing mechanism, automatic closure, or power operated component is damaged or missing.","1. If an audible exit alarm is present on the door, allow the POA to disarm the alarm prior to inspecting.","1. Fire labeled door with self-closing mechanism: 
- Open the door fully and release. 
- Visually observe that the door self closes (i.e., door seats in frame). 
- With the door closed, attempt to open the door without engaging the latch to ensure the door is closed and latched. 
2. Fire labeled door that is power operated: 
- Activate the door and visually observe if the door opens. 
- Once open, wait to visually observe if the door automatically closes. 
- With the door closed, attempt to open the door without engaging the latch to ensure the door is closed and latched.
3. Fire labeled door without self-closing mechanism or with an automatic closure: 
- Open the door fully. 
- Attempt to close the entry door against the frame. 
- With the door closed, attempt to open the door without engaging the latch to ensure the door is closed and latched.","1. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame.
2. If unable to determine if a label is present, and at least one (1) other entry door or stairwell door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.",NONE,Flashlight; Inspection mirror
11.1.5.3.0,Not Scored for 12 Months,Unit,Door - Fire Labeled,Fire labeled door assembly has a hole of any size or is damaged such that its integrity may be compromised.,"A fire labeled door assembly has a hole of any size.
OR
A fire labeled door assembly is damaged (i.e., visibly defective; impacts functionality) such that its integrity may be compromised.",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Unit. 
2. Visually inspect each fire labeled door assembly to identify any holes or damage.",NONE,"1. If damage is present, determine if the integrity of the fire labeled door assembly is compromised.","1. Door assembly components may include, but are not limited to: 
- Frame
- Door slab
- Hardware
- Glazing
2. Examples of damage that may compromise the integrity of a fire labeled door assembly may include, but are not limited to: 
- Glass that is cracked or not secure 
- Missing or removed hardware resulting in a hole
3. Repaired doors are acceptable with manufacturer documentation. 
4. If unable to determine if a label is present, and at least one (1) other Unit door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.",NONE,Flashlight; Inspection mirror
11.2.6.3.0,Not Scored for 12 Months,Inside,Door - Fire Labeled,Fire labeled door assembly has a hole of any size or is damaged such that its integrity may be compromised.,"A fire labeled door assembly has a hole of any size. 
OR
A fire labeled door assembly is damaged (i.e., visibly defective; impacts functionality) such that its integrity may be compromised. 
OR 
25% of the door surface has rust that affects the integrity of the door.
OR
There is broken or missing glass.",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Inside. 
2. Visually inspect each fire labeled door assembly to identify any holes or damage.",NONE,"1. If damage is present, determine if the integrity of the fire labeled door assembly is compromised.","1. Door assembly components may include, but are not limited to: 
- Frame
- Door slab
- Hardware
- Glazing
2. Examples of damage that may compromise the integrity of a fire labeled door assembly may include, but are not limited to: 
- Glass that is cracked or not secure 
- Missing or removed hardware resulting in a hole
3. Repaired doors are acceptable with manufacturer documentation. 
4. If unable to determine if a label is present, and at least one (1) other entry door or stairwell door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door. ",NONE,Flashlight; Inspection mirror
11.1.7.3.0,Not Scored for 12 Months,Unit,Door - Fire Labeled,Fire labeled door seal or gasket is damaged or missing.,"A fire labeled door seal or gasket is damaged (i.e., visibly defective; impacts functionality).
OR
A fire labeled door seal or gasket is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Unit. 
2. Visually inspect each fire labeled door to determine if a seal or gasket is damaged or missing.",NONE,NONE,"1. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame. 
2. If unable to determine if a label is present, and at least one (1) other Unit door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.  ",NONE,NONE
11.2.8.3.0,Not Scored for 12 Months,Inside,Door - Fire Labeled,Fire labeled door seal or gasket is damaged or missing.,"A fire labeled door seal or gasket is damaged (i.e., visibly defective; impacts functionality).
OR
A fire labeled door seal or gasket is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Inside. 
2. Visually inspect each fire labeled door to determine if a seal or gasket is damaged or missing.",NONE,NONE,"1. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame. 
2. If unable to determine if a label is present, and at least one (1) other entry door or stairwell door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.",NONE,NONE
11.1.9.3.0,Not Scored for 12 Months,Unit,Door - Fire Labeled,An object is present that may prevent the fire labeled door from closing and latching or self-closing and latching.,"An object is present that may prevent the fire labeled door from closing (i.e., door seats in frame) and latching. 
OR
An object is present that may prevent the fire labeled door from self-closing (i.e., door seats in frame) and latching.",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Unit. 
2. Identify any objects that may prevent the fire labeled door from closing and latching or self-closing and latching.","1. If an audible exit alarm is present on the door, allow POA to disarm the alarm prior to inspecting.",NONE,"1. Objects that may prevent a fire labeled door from closing and latching or self-closing and latching may include, but are not limited to: 
- Wood wedge
- Kick-down door stop
- Trash can 
- Furniture
- Tape
- Rubber band
2. Doors shall not be held open by devices other than those that release when the door is pushed or pulled. ""Push or pull"" release devices to hold a door open can be either electromagnetic or of the friction-fit type integral to the door closer.
3. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame. 
4. If unable to determine if a label is present, and at least one (1) other Unit door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.",NONE,Flashlight; Inspection mirror
11.2.10.3.0,Not Scored for 12 Months,Inside,Door - Fire Labeled,An object is present that may prevent the fire labeled door from closing and latching or self-closing and latching.,"An object is present that may prevent the fire labeled door from closing (i.e., door seats in frame) and latching. 
OR
An object is present that may prevent the fire labeled door from self-closing (i.e., door seats in frame) and latching.",Severe,24 hours,Fail,30 days,"1. Identify all fire labeled doors within the Inside. 
2. Identify any objects that may prevent the fire labeled door from closing and latching or self-closing and latching.","1. If an audible exit alarm is present on the door, allow POA to disarm the alarm prior to inspecting.",NONE,"1. Objects that may prevent a fire labeled door from closing and latching or self-closing and latching may include, but are not limited to: 
- Wood wedge
- Kick-down door stop
- Trash can
- Furniture 
- Tape.
- Rubber band
2. Doors shall not be held open by devices other than those that release when the door is pushed or pulled. ""Push or pull"" release devices to hold a door open can be either electromagnetic or of the friction-fit type integral to the door closer.
3. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame.
4. If unable to determine if a label is present, and at least one (1) other entry door or stairwell door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.  ",NONE,Flashlight; Inspection mirror
11.1.11.3.0,Not Scored for 12 Months,Unit,Door - Fire Labeled,Fire labeled door cannot be secured.,"Fire labeled door cannot be secured (i.e., access controlled) by at least 1 installed lock. ",Severe,24 hours,Fail,30 days,1. Identify all fire labeled doors and verify if a lock is installed.,NONE,"1. Close the door and engage the installed lock.
2. Engage the doorknob or handle to verify if the door is secured.","1. Acceptable forms of installed locks include ones that can be engaged from both sides and the exterior side can be engaged with a key, keypad, keycard, code, etc.  
2. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame. 
3. If unable to determine if a label is present, and at least one (1) other Unit door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.  ",NONE,Flashlight; Inspection mirror
11.2.12.3.0,Not Scored for 12 Months,Inside,Door - Fire Labeled,Fire labeled door cannot be secured.,"Fire labeled door cannot be secured (i.e., access controlled) by at least 1 installed lock, if so designed.",Moderate,30 days,Fail,30 days,"1. Identify all fire labeled doors and verify if a lock is installed, if so designed.",NONE,"1. Close the door and engage the installed lock.
2. Engage the doorknob or handle to verify if the door is secured.","1. Acceptable forms of installed locks include ones that can be engaged from both sides and the exterior side can be engaged with a key, keypad, keycard, code, etc.  
2. Fire label or plug may be located on the edge of the door slab between the middle and top hinge or on the top and hinge side of the jamb or frame. 
3. If unable to determine if a label is present, and at least one (1) other entry door or stairwell door along the same egress path has a fire label, then the inspector should treat the door as a fire labeled door.",NONE,Flashlight; Inspection mirror
11.1.13.3.0,Not Scored for 12 Months,Unit,Door - Fire Labeled,Fire labeled door is missing. ,"Fire labeled door is missing (i.e., evidence of prior installation, but is now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,1. Visually inspect for any missing fire labeled door. ,NONE,1. Identify any missing fire labeled doors.,"1. If a door is missing, and at least one (1) other Unit door along the same egress path has a fire label, then the inspector should treat the missing door as a fire labeled door.  ",NONE,NONE
